entity_id,name,normalized_name,entity_type,doc_id,chunk_id,confidence,evidence
ENT-21b39c1853e531aa82d4,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC021,DOC021-C0001,0.92,AFWA presents Lifetime Achievement Award to DU’s Dr.
ENT-1a62f312f6c06b1e7d60,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC021,DOC021-C0002,0.92,AFWA presents Lifetime Achievement Award to DU’s Dr.
ENT-d190dc077c314dbf433a,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0005,0.92,AFWA – Association of Fish and Wildlife Agencies ANSI – American National Standards Institute AON – Assessment of Need AOPs – Aquatic Organism Passage Barriers ASD – Autism Spectrum Disorder ATVs – All-Terrain Vehicles BMPs
ENT-dd713426db8c5ab336e2,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0026,0.92,AFWA) Southern Wings Program was created in 2009 after the concept was presented to AFWA by MDC.
ENT-89fb292248486486ac24,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0028,0.92,AFWA approved a goal for states to collectively contribute up to $10 million per year to the NAWMP projects on the breeding grounds in Canada through the Fall Flights Program.
ENT-f502aec36e087abcdb49,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0031,0.92,Association of Fish and Wildlife Agencies (MAFWA) recognized the need for regional coordination of m onarch conservation efforts and authored the Mid- America Monarch Conservation Strategy (MAFWA 2018).
ENT-2e62e7673ff17dbd23b8,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0032,0.92,"Association of Fish and Wildlife Agencies (AFWA) All, plus Canadian Provinces and U.S."
ENT-a01424059bfcd038252a,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0033,0.92,"Association of Fish and Wildlife Agencies (SEAFWA) AL, AR, FL, GA, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA, WV, Puerto Rico and U.S."
ENT-3eaf07b57b4905a4004b,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0042,0.92,AFWA reported in 2019 that the majority of SOCCs (which include 75 percent of T&E species) and many economically important game species all require habitat on North America ’s private lands.
ENT-dc48e2449b9e5eb7aa63,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0079,0.92,AFWA convened a Blue Ribbon Panel on Sustaining America ’s Diverse Fish and Wildlife Resources.
ENT-b4e585b27f83b984331c,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0195,0.92,Association of Fish and Wildlife Agencies 30.
ENT-c3c5399651032b357443,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0245,0.92,AFWA and the Wildlife Management Institute.
ENT-971ce7fef501afb30774,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC036,DOC036-C0251,0.92,Association of Fish and Wildlife Agencies.
ENT-1b400e1ac1cef1ae4369,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC003,DOC003-C0022,0.92,"Fish and Wildlife Service’s National Wildlife Refuge System, the National Park Service, the Bureau of Land Management, the Bureau of Reclamation, the Bureau of Indian Affairs, the Department of Agriculture Forest Service, and the Department of Defense."
ENT-c8252b1f19a418246a98,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC005,DOC005-C0002,0.92,"Army Corps of Engineers AIS aquatic invasive species ANS aquatic nuisance species BIA Bureau of Indian Affairs BOEM Bureau of Ocean Energy Management BOR Bureau of Reclamation DC District of Columbia (Washington, DC) DCNR Pennsylvania Department of Conservation and Natural Resources DEP (Pennsylvania) De"
ENT-3524625b1c8ef7a327a7,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC005,DOC005-C0013,0.92,"Bureau of Indian Affairs (BIA), FWS, and the National Park Service (NPS)."
ENT-0ec106a4ce04058a0187,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC005,DOC005-C0014,0.92,"Bureau of Indian Affairs (BIA), FWS, and the National Park Service (NPS)."
ENT-20e5f0d2c09faf8d0a52,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC007,DOC007-C0003,0.92,Bureau of Indian Affairs (BIA) Invasive Species Funding for Tribes; DOI Eradication Notice of Funding Opportunity; DOI Funding Guide for Invasive Species Management; DOI Interagency Agreement for West-wide Watercraft Inspection and Decontaminat
ENT-ec44509908f609125706,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC007,DOC007-C0005,0.92,"Since 2019, five DOI bureaus (BIA, BLM, Bureau of Reclamation (BOR), NPS, and USFWS) joined forces with non-federal partners to strengthen national prevention efforts."
ENT-775c220c49c47b0c078f,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC007,DOC007-C0006,0.92,"BIA, NPS, USFWS, and USGS cooperated with federal and non-federal partners on detection, containment, and control measures to reduce populations in the Mississippi River Basin and stop their spread into the Great Lakes, foc"
ENT-51ce0e47b72d51d712c7,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC007,DOC007-C0007,0.92,"BIA, BLM, BOR, NPS, USFWS, and USGS collaborated with partners across the country to detect, control, and eradicate (when possible) nutria and restore damaged marsh habitat."
ENT-15d9b73e27cafb9f302d,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC008,DOC008-C0003,0.92,Bureau of Indian Affairs (BIA) Invasive Species Funding for Tribes; DOI Eradication Notice of Funding Opportunity; DOI Funding Guide for Invasive Species Management; DOI Interagency Agreement for West-wide Watercraft Inspection and Decontaminat
ENT-cfb1a32cbf62cee067df,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC008,DOC008-C0005,0.92,"Since 2019, five DOI bureaus (BIA, BLM, Bureau of Reclamation (BOR), NPS, and USFWS) joined forces with non-federal partners to strengthen national prevention efforts."
ENT-41dc4c4c178bb497fb8a,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC008,DOC008-C0006,0.92,"BIA, NPS, USFWS, and USGS cooperated with federal and non-federal partners on detection, containment, and control measures to reduce populations in the Mississippi River Basin and stop their spread into the Great Lakes, foc"
ENT-bcf13ffd5f2413d63727,Bureau of Indian Affairs,bureau of indian affairs,agency,DOC008,DOC008-C0007,0.92,"BIA, BLM, BOR, NPS, USFWS, and USGS collaborated with partners across the country to detect, control, and eradicate (when possible) nutria and restore damaged marsh habitat."
ENT-8361c2eeb7f3785974a4,Convention on Wetlands,convention on wetlands,agency,DOC003,DOC003-C0008,0.92,"Convention on Wetlands of International Importance (Ramsar, Iran, 1971), the 1992 Convention on 1998 Update 3 F More than 60 million people who watch migratory birds and 3.2 million who hunt waterfowl generate over US$20 billion annually in e"
ENT-b0c971dc4e0ba67051c4,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0001,0.92,"Ramsar Convention Manual, 6th edition About the Convention on Wetlands The Convention on Wetlands (Ramsar, Iran, 1971) is an intergovernmental treaty whose mission is “the conservation and wise use of all wetlands through local, regional"
ENT-50815a5404d40ad34b23,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0002,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 4 4.4 International cooperation 4.4.1 Cooperation with and between Contracting Parties 4.4.2 Transboundary wetland conservation 4.4.3 Transboundary species conservation 4.4.4 Regional cooperation an"
ENT-b473230743d0ce927241,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0003,0.92,"Convention on Wetlands (Ramsar, Iran, 1971)”, it has come to be known popularly as the “Ramsar Convention”."
ENT-64ef13b3c2311ea8673c,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0004,0.92,"Ramsar Convention has adopted a Ramsar Classification of Wetland Type (§4.3.4) which includes 42 types, grouped into three categories: Marine and Coastal Wetlands, Inland Wetlands, and Human-made Wetlands."
ENT-e4268a705b40ed9d6df9,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0005,0.92,"Ramsar Convention Manual, 6th ed."
ENT-facbb6a1b4a0e1c4fa60,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0006,0.92,"Ramsar Convention Manual, 6th ed."
ENT-5b2878c8a59ac405b445,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0007,0.92,"Ramsar Convention Manual, 6th ed."
ENT-4d6e52c98508f7958654,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0008,0.92,Ramsar Secretariat.
ENT-b5e5baa11a4f0d74d7a5,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0009,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 16 b) Promotion of international cooperation in wetland conservation •"
ENT-c846e9d4287e1acb5358,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0010,0.92,"Ramsar Secretariat has devoted a great deal of effort to developing synergies with other environment-related instruments, and continues to do so."
ENT-af7acd5527958774b2bc,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0011,0.92,Ramsar Secretariat has also effected Memoranda of Cooperation with UNEP’s Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region (Cartagena Convention) and with the Coordinating Unit of the M
ENT-dce04bfa7ec95c20bf8b,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0012,0.92,"Ramsar Secretariat also takes part in the conventions’ coordinating meetings within the United Nations system, as a participating observer in the work of the Joint Liaison Group (JLG) of the “Rio Conventions”, UNFCCC (the UN Framework Con"
ENT-13b7e217f90da075355c,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0013,0.92,"Ramsar Convention as amended by the Paris Protocol and the Regina Amendments (Appendix 1), using the model instrument of accession shown in §5.1."
ENT-1f2305fa0ccb0111395e,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0014,0.92,"consolidates the Ramsar Secretariat into a single unit within IUCN headquarters in Gland, Switzerland; •"
ENT-776c8561bdcd520479b2,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0015,0.92,"Ramsar Secretariat, the United States State Department, and the US Fish and Wildlife Service; later renewed regularly."
ENT-a49276e8d0d824f74cb5,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0016,0.92,"Ramsar Convention Manual, 6th ed."
ENT-df5dd094612c2a4de5ef,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0017,0.92,"Ramsar Convention’s Facebook page, with 74,000 fans by January 2013."
ENT-e62cebb1380ab8c3cbd5,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0018,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 34 The Proceedings of each meeting of the Conference of the Contracting Parties are published subsequently, in the Convention’s three official working languages (English, French, and Spanish), on CD"
ENT-4bf44f99f3fe9d76fe89,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0019,0.92,"Ramsar Convention is the intersessional executive body which represents the COP between its triennial meetings, within the framework of the decisions made by the COP."
ENT-83cb5235028fc5d5dfa3,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0020,0.92,"Ramsar Convention Manual, 6th ed."
ENT-4dd383d48253984937a2,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0021,0.92,Ramsar Secretariat and the Contracting Party and the main agency responsible for the application of the treaty.
ENT-009bdcde044e7609f227,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0022,0.92,Ramsar Convention budget The Conference of the Contracting Parties reviews the financial regulations of the Convention and adopts a core budget for the next triennium at each of its ordinary meetings.
ENT-9392d302cef859534d45,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0023,0.92,Ramsar Convention has established six regions: •
ENT-58727a2e1c936e422776,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0024,0.92,Ramsar Convention and its wise use concept and support the use of the Ramsar guidelines in their own work around the world.
ENT-5dcaacc5079ab177242f,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0025,0.92,"Ramsar Convention, IUCN, and UNESCO MAB Programme."
ENT-c5b9cb72c276ba5f3c5e,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0026,0.92,Ramsar Secretariat assists the Contracting Parties in implementing the original Guidelines and Additional guidance and their subsequent commitments on the wise use of wetlands by: •
ENT-ec9a5994c633d0bbf4d3,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0027,0.92,"Ramsar Convention Manual, 6th ed."
ENT-d7b93f42d978d216fbf8,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0028,0.92,Ramsar Convention (http://ramsar.wetlands.org).
ENT-873ff5aa978647245ae7,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0029,0.92,Ramsar Secretariat organizes technical missions to seek solutions and provide advice to the relevant authorities.
ENT-85ef503ee5fa0ebe511a,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0030,0.92,"Ramsar Convention Manual, 6th ed."
ENT-5fe7e1ac822af770d0af,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0031,0.92,"Ramsar Convention by Wetlands International at its headquarters in Wageningen, the Netherlands."
ENT-9fbf8fd59c70784dc527,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0032,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 56 rapid identification of the main wetland habitat types represented at each site, with the “dominant wetland type” clearly indicated."
ENT-8c0448aba0279d77cce8,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0033,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 58 In most cases, the application of this mechanism consists of a visit by a team of two or more experts who will produce a report on their findings and recommendations."
ENT-6c21f85246ff21a1d6c8,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0034,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 60 4.3.7 Article 3.2 Article 3.2 of the Convention requires the Parties “to arrange to be informed at the earliest possible time if the ecological character of any wetland in its territory and inclu"
ENT-aaadd15dd7243a41f6a6,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0035,0.92,Ramsar Convention (Resolution VII.19; Handbook 20).
ENT-207fb9d39d3e273466b7,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0036,0.92,"the East Atlantic Flyway initiative launched by Friends of the Earth– Spain; The Ramsar Convention Manual, 6th ed."
ENT-2317bd52c5296b58961a,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0037,0.92,"Ramsar Secretariat by 30 June of each year, but Secretariat staff can provide advice on project proposals submitted prior to 30 April."
ENT-debd4cade4f25b1da7db,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0038,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 66 conservation and wise use."
ENT-0806a7894aa6048e596c,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0039,0.92,Ramsar Secretariat places a high priority on assisting the Parties in wetland training and capacity building.
ENT-416578e64fd0be4c89f4,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0040,0.92,"contributions to the literature of other organizations; and The Ramsar Convention Manual, 6th ed."
ENT-af56f7176f2a39801997,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0041,0.92,ramsar convention”.
ENT-93ba8f3f62546daa6a94,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0042,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 72 1999: In ceremonies in San José, Costa Rica, at Ramsar COP7 in 1999, the prize for individuals was shared by Vitaly G."
ENT-9b87148e798087162473,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0043,0.92,"Ramsar Convention (1995), Economic valuation of wetlands: a guide for policy makers and planners (1997), Wetlands, biodiversity and the Ramsar Convention (1997), and Ecosystems and human-well-being: wetlands and water synthesis (2005)."
ENT-22c6c3c55d1323f02bff,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0044,0.92,Ramsar Convention.
ENT-5631be6c67f1fab2d523,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0045,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 78 5."
ENT-b189a3c84f0edbb99ab9,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0046,0.92,"Ramsar Convention Manual, 6th ed."
ENT-693a0d00bad913f20c65,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0047,0.92,"Ramsar Convention Manual, 6th ed."
ENT-f010661178196a0ea33b,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0048,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 82 Appendix 2 Resolutions and Recommendations of the Conference of the Contracting Parties to the Ramsar Convention 1st meeting of the Conference of the Parties (Cagliari, Italy, November 1980) Reco"
ENT-af505865565c07e080c5,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0049,0.92,"Ramsar Convention Recommendation 4.8 Change in ecological character of Ramsar Sites Recommendation 4.9 Ramsar Sites in the territories of specific Contracting Parties Recommendation 4.9.1 Doñana National Park, Spain Recommendation 4.9.2"
ENT-7c0694320b2a7df481c7,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0050,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 86 Resolution VII.2 Composition and modus operandi of the Convention’s Scientific and Technical Review Panel (STRP) Resolution VII.3 Partnerships with international organizations Resolution VII.4 Pa"
ENT-c14b7fe78f329e904a2c,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0051,0.92,"Ramsar Convention Recommendation 7.1 A global action plan for the wise use and management of peatlands Recommendation 7.2 Small Island Developing States, island wetland ecosystems, and the Ramsar Convention Recommendation 7.3 Multilatera"
ENT-3151e56aa5dfe4949a9c,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0052,0.92,Ramsar Convention for South America Resolution VIII.44 New Partnership for Africa ́s Development (NEPAD) and implementation of the Ramsar Convention in Africa Resolution VIII.45 Operation of the Conference of the Contracting Parties and
ENT-4ff02fe8c2d814820dc8,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0053,0.92,Ramsar Convention and its Secretariat Resolution X.6 Regional initiatives 2009-2012 operating within the framework of the Convention Resolution X.7 Optimizing the Ramsar Small Grants Fund during the period 2009-2012 Resolution X.8 The Co
ENT-ab912c1b2f4681f42142,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0054,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 92 Appendix 3 References References are to the Ramsar website (www.ramsar.org) and to Ramsar print publications, especially the fourth edition of The Ramsar Handbooks for the wise use of wetlands (2"
ENT-a0503c8ed1c2fc953f82,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0055,0.92,"Convention on Wetlands (Ramsar, Iran, 1971) 94 Wetland losses: An Integrated Framework and guidelines for avoiding, mitigating and compensating for wetland losses (2012)."
ENT-774f61669e2925d91fe6,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0056,0.92,"Ramsar Convention (2009), by Royal Gardner, Kim Diana Connolly, and Abou Bamba."
ENT-f019b5ad049ef42d892f,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0057,0.92,Ramsar Convention” come from?
ENT-5ee2a53cfb6e5aedd0b4,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0058,0.92,"Ramsar Convention Manual, 6th ed."
ENT-94a6887ae297f04c1ec5,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0059,0.92,"Ramsar Convention Manual, 6th ed."
ENT-1f39f07a7dff61fb34e3,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0060,0.92,"Ramsar Secretariat, provides guidance to all interested parties, and in particular to the Ramsar Secretariat and the MedWet Coordinator, on practical measures and actions for implementation of the Mediterranean Wetlands Strategy Mediterra"
ENT-f0ee0df87d11d9787a56,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0061,0.92,"Ramsar Convention, approved by the 4th Meeting of the COP held in Regina, Canada, May 1987; entered into force in May 1994 The Convention on Wetlands (Ramsar, Iran, 1971) 108 Scientific and Technical Review Panel = the Convention’s subsi"
ENT-995fab00df21c55b7d79,Convention on Wetlands,convention on wetlands,agency,DOC027,DOC027-C0062,0.92,"Ramsar Convention, approved by the 4th Meeting of the COP held in Regina, Canada, May 1987; entered into force in May 1994 The Convention on Wetlands (Ramsar, Iran, 1971) 108 Scientific and Technical Review Panel = the Convention’s subsi"
ENT-48fbaae1f7813dd5098e,Convention on Wetlands,convention on wetlands,agency,DOC032,DOC032-C0007,0.92,Convention on Wetlands of International Importance especially as Waterfowl Habitat.
ENT-8a1dbc150d5d6b4765e6,Convention on Wetlands,convention on wetlands,agency,DOC034,DOC034-C0040,0.92,"Ramsar Convention on the Conservation of Wetlands of International Impor- tance, which, since"
ENT-32646c39f89cdb4c3773,Convention on Wetlands,convention on wetlands,agency,DOC034,DOC034-C0041,0.92,"Ramsar Convention on the Conservation of Wetlands of International Impor- tance, which, since its drafting in 1971, has been signed by 60 nations."
ENT-d6419372f881e009b78a,Convention on Wetlands,convention on wetlands,agency,DOC035,DOC035-C0004,0.92,"Convention on Wetlands (Ramsar, Iran, 1971 Convention on Biological Diversity, June 1992 Bonn Convention on the Conservation Of Migratory Species of Wild Animals International Convention for the Protection of Birds National Water Policy, 2002"
ENT-72f68e2c2ca1feca03a0,Ducks Unlimited,ducks unlimited,agency,DOC001,DOC001-C0022,0.92,Ducks Unlimited (DU) provides cost support for DU to provide engineering services to as- sist with the design and construction of wetlands on public and private property.
ENT-a3a108228995705d4296,Ducks Unlimited,ducks unlimited,agency,DOC001,DOC001-C0064,0.92,"Ducks Unlimited, Missouri De- partment of Conservation, U.S."
ENT-5a85287426a4dcc7f33c,Ducks Unlimited,ducks unlimited,agency,DOC001,DOC001-C0085,0.92,Ducks Unlimited U.S.
ENT-5472f3ae5abc55cc8c81,Ducks Unlimited,ducks unlimited,agency,DOC002,DOC002-C0002,0.92,Geological Survey Mike Shannon Ducks Unlimited (Missouri) Tom Jacobs Mid-America Regional Council Kyle Steele U.S.
ENT-4c762f6bfc07d4c021ff,Ducks Unlimited,ducks unlimited,agency,DOC002,DOC002-C0007,0.92,Ducks Unlimited (DU) Easement Program to protect wetlands on private lands.
ENT-3f56afa46e6c43e44162,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0006,0.92,Ducks Unlimited Canada on the legacy established by the Plan and presents three visions to advance waterfowl conservation in the future: •
ENT-2c4daa55506c9ac2d095,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0008,0.92,"Ducks Unlimited Canada Biological Diversity, the 1992 North American Free Trade Agreement and the parallel North American Agreement on Environmental Cooperation, and the Tri-Lateral Committee for the Conservation and Management of Wild"
ENT-ff0e01dfd49840ccd382,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0009,0.92,Ducks Unlimited Canada Changes in the international context—global and continental— will continue to present challenges to Plan partners in managing landscapes important to waterfowl and other migratory birds and wildlife.
ENT-389931390f708c42e2be,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0010,0.92,Ducks Unlimited Canada Enhance planning and evaluation by expanding monitoring and assessment capabilities The monitoring and assessment programs used to guide waterfowl management in North America are among the best such programs in t
ENT-08e98d0fa7fa98f8ff72,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0011,0.92,Ducks Unlimited Canada Enhance planning and evaluation by expanding monitoring and assessment capabilities The monitoring and assessment programs used to guide waterfowl management in North America are among the best such programs in t
ENT-f1d4fc751e3ebd601a63,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0012,0.92,"Ducks Unlimited Canada Broadening the Scope of Partnerships The Vision Plan partners collaborate with other conservation efforts, particularly migratory bird initiatives, and reach out to other sectors and communities to forge broader"
ENT-36874b6d9f720c078cf2,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0013,0.92,Ducks Unlimited Canada considered.
ENT-b2804febe8a38c47577b,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0014,0.92,"Ducks Unlimited Canada 1998 Update 15 PART 2 Population Objectives and Status of North American Waterfowl Population Objectives North America has 43 species of ducks, geese, and swans that typically depend on habitats in two or more co"
ENT-43f9dcbf7dfa9dc05cd1,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0015,0.92,Ducks Unlimited Canada Duck Population Objectives The abundance of ducks in North America from 1970 to 1979 is the baseline reference for duck population objectives under the Plan (Table 1).
ENT-5ecc3f11b751f3ebd690,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0017,0.92,Ducks Unlimited CanadaBlack-bellied Whistling-duck — B.J.
ENT-c6898340b90e4608e830,Ducks Unlimited,ducks unlimited,agency,DOC003,DOC003-C0019,0.92,Ducks Unlimited Canada Status of White-fronted Geese White-fronted geese that migrate through the Central Flyway to winter along the Gulf of Mexico had previously been divided into Eastern and Western Mid-continent Populations.
